algoritmo,generacion,fitness,NFE,tiempo
Original,57,-401,580,0.41222381591796875
Original,58,-401,590,0.41559648513793945
Original,59,-401,600,0.4191153049468994
Original,60,-401,610,0.42211484909057617
Original,61,-401,620,0.4241139888763428
Original,62,-401,630,0.42711710929870605
Original,63,-401,640,0.43011999130249023
Original,64,-401,650,0.43415212631225586
Original,65,-401,660,0.43816351890563965
Original,66,-401,670,0.4451632499694824
Original,67,-401,680,0.45116209983825684
Original,68,-401,690,0.45516061782836914
Original,69,-401,700,0.4581618309020996
Original,70,-401,710,0.4631633758544922
Original,71,-401,720,0.4651618003845215
Original,72,-401,730,0.46815967559814453
Original,73,-401,740,0.4711625576019287
Original,74,-401,750,0.4801640510559082
Original,75,-401,760,0.488161563873291
Original,76,-401,770,0.49359822273254395
Original,77,-401,780,0.4996068477630615
Original,78,-401,790,0.5046365261077881
Original,79,-401,800,0.5121679306030273
Original,80,-401,810,0.5181338787078857
Original,81,-401,820,0.5231316089630127
Original,82,-401,830,0.5271310806274414
Original,83,-401,840,0.5311317443847656
Original,84,-401,850,0.5361361503601074
Original,85,-401,860,0.5401365756988525
Original,86,-401,870,0.5461342334747314
Original,87,-401,880,0.5515084266662598
Original,88,-401,890,0.556812047958374
Original,89,-401,900,0.5618071556091309
Original,90,-401,910,0.5671887397766113
Original,91,-401,920,0.574547290802002
Original,92,-401,930,0.5815582275390625
Original,93,-401,940,0.5855553150177002
Original,94,-401,950,0.5887284278869629
Original,95,-401,960,0.5927355289459229
Original,96,-401,970,0.5987381935119629
Original,97,-401,980,0.6028501987457275
Original,98,-401,990,0.6083724498748779
Original,99,-401,1000,0.6149239540100098
Original,100,-401,1010,0.6190619468688965
Mejorado,1,-395,128,0.0758213996887207
Mejorado,2,-368,232,0.12394046783447266
Mejorado,3,-368,336,0.1549232006072998
Mejorado,4,-368,440,0.18193888664245605
Mejorado,5,-366,544,0.2266247272491455
Mejorado,6,-366,648,0.2561349868774414
Mejorado,7,-366,752,0.28282713890075684
Mejorado,8,-366,856,0.3081362247467041
Mejorado,9,-366,960,0.33713722229003906
